Index,Title,Abstract,DOI,Authors
21,"Long-term comparisons of the efficacy, safety, and pregnancy outcomes of adjuvant tamoxifen plus ovarian function suppression in premenopausal Han and Zhuang Chinese patients with hormone receptor-positive early breast cancer","Objective To compare the efficacy, safety, and pregnancy outcomes of tamoxifen plus ovarian function suppression (OFS) between Han and Zhuang women with hormone receptor-positive breast cancer. Methods A total of 236 Han and 101 Zhuang women with hormone receptor-positive breast cancer who received tamoxifen plus OFS were analyzed retrospectively. Long-term disease-free survival (DFS) and overall survival (OS) were evaluated by Kaplan-Meier analysis, and adverse events and pregnancy outcomes were assessed by chi(2) and Fisher's exact-probability tests. Results There was no significant difference in DFS or OS between Han and Zhuang women (5-year DFS 74.57% and 77.23%, OS 85.59% and 90.01%, respectively). The incidences of endometrial hyperplasia, ovarian cysts, nausea and vomiting, fatty liver, retinitis, and thrombocytopenic purpura were similar in both groups, but Zhuang women had significantly more allergic reactions (6.93% vs. 2.12%). Pregnancy rates among women who attempted pregnancy were similar (Han, 7/138, 5.07%; Zhuang, 2/46, 4.35%). Conclusions OFS plus tamoxifen resulted in similar DFS and OS among premenopausal Han and Zhuang women with hormone receptor-positive breast cancer. However, Zhuang women were more likely to experience an allergic reaction. For women with fertility concerns, OFS plus tamoxifen was associated with similar pregnancy rates in Zhuang and Han women.",10.1177/0300060518807100,"Tang, SC; Zhang, Q; Tang, XH; Chen, D; Zhang, F; Liu, JL; Wei, W; Liu, DQ"
22,Nonalcoholic fatty liver disease and colorectal cancer: Correlation and missing links,"Nonalcoholic fatty liver disease (NAFLD) is one of the major metabolic diseases that occur in almost one in every four global population, while colorectal cancer (CRC) is one of the leading causes of cancer related deaths in the world. Individuals with pre-existing NAFLD show a higher rate of developing CRC and liver metastasis, suggesting a causal relationship. Interestingly, both of these diseases are strongly associated with obesity, which is also a growing global health concern. In this current review, we will explore scientific findings that demonstrate the relationship between NAFLD, CRC and obesity, as well as the underlying mechanisms. We will also indicate the missing links and knowledge gaps that require more in-depth investigation.",10.1016/j.lfs.2020.118507,"Chakraborty, D; Wang, J"
23,Association between nonalcoholic fatty liver disease and extrahepatic cancers: a systematic review and meta-analysis,"Background NAFLD is tightly associated with various diseases such as diabetes, cardiovascular disease, kidney disease, and cancer. Previous studies had investigated the association between NAFLD and various extrahepatic cancers, but the available data to date is not conclusive. The aim of this study was to investigate the association between NAFLD and various extrahepatic cancers comprehensively. Methods Searches were conducted of various electronic databases (PubMed, EMBASE, Medline, and the Cochrane Library) to identify observational studies published between 1996 and January 2020 which investigated the association between NAFLD and extrahepatic cancers. The pooled OR/HR/IRR of the association between NAFLD and various extrahepatic cancers were analyzed. Results A total of 26 studies were included to investigate the association between NAFLD and various extrahepatic cancers. As the results shown, the pooled OR values of the risk of colorectal cancer and adenomas in patients with NAFLD were 1.72 (95%CI: 1.40-2.11) and 1.37 (95%CI: 1.29-1.46), respectively. The pooled OR values of the risk of intrahepatic cholangiocarcinoma and extrahepatic cholangiocarcinoma in patients with NAFLD were 2.46 (95%CI: 1.77-3.44) and 2.24 (95%CI: 1.58-3.17), respectively. The pooled OR value of the risk of breast cancer in patients with NAFLD was 1.69 (95%CI: 1.44-1.99). In addition, NAFLD was also tightly associatied with the risk of gastric cancer, pancreatic cancer, prostate cancer, and esophageal cancer. Conclusions NAFLD could significantly increase the development risk of colorectal adenomas and cancer, intrahepatic and extrahepatic cholangiocarcinoma, breast, gastric, pancreatic, prostate, and esophageal cancer. NAFLD could be considered as one of the influencing factors during the clinical diagnosis and treatment for the extrahepatic cancers.",10.1186/s12944-020-01288-6,"Liu, SS; Ma, XF; Zhao, J; Du, SX; Zhang, J; Dong, MZ; Xin, YN"
24,Alterations in hepatic fatty acids reveal depletion of total polyunsaturated fatty acids following irinotecan plus 5-fluorouracil treatment in an animal model of colorectal cancer,"Fatty liver is a side effect of chemotherapy that limits the ability to treat colorectal cancer (CRC) patients in the most effective way. The aim of this study was to determine hepatic fatty acid composition and expression of genes involved in lipid metabolism at two time points following sequential chemotherapy treatment with Irinotecan (CPT-11)+5-fluorouracil (5-FU), agents commonly used to treat human colorectal cancer. Female Fischer 344 rats were provided a semi-purified AIN-76 basal diet with modified fat component. One cycle of chemotherapy consisted of CPT-11+5-FU and was initiated 2 weeks after tumor implantation (D0); a second cycle was given one week later. Two days after each cycle (Day 2 and Day 9), animals were euthanized, and livers collected. Triacylglycerol (TAG) and phospholipid (PL) fractions were isolated using thin layer chromatography and fatty acids (FAs) were quantified using gas chromatography. Expression of 44 lipid metabolism genes were analyzed by qPCR. Total liver TAG level was lowest after the second cycle D0 and D2 (P = 0.05) characterized by lower content of n-6 and n-3 polyunsaturated fatty acids (PUFAs). N-6 PUFAs significantly declined with subsequent treatments. Of 44 genes analyzed, 13 genes were altered with CPT-11+5-FU treatment. Expression of genes VLCAD and DGAT1, involved in fatty acid oxidation as well as DGAT1 in TAG synthesis, were significantly elevated after each cycle, whereas expression of genes ELOVL2 and FADS2, involved in fatty acid elongation and desaturation were significantly lower at D9 compared to D2 and D0 (P < 0.03). Hepatic total TAG PUFA was depleted, and genes involved in pathways of PUFA synthesis were down-regulated by chemotherapy treatment. This observation suggests impediments in lipid metabolism in the liver that could potentially impact peripheral availability of essential fatty acids.",10.1016/j.plefa.2021.102359,"Monirujjaman, M; Pant, A; Nelson, R; Bathe, O; Jacobs, R; Mazurak, VC"
25,Reversible severe fatty liver induced by capecitabine A case report,"Rationale: Capecitabine (CAP) is a chemotherapeutic agent used to treat breast and gastrointestinal cancers. The most common adverse reactions of CAP primarily included gastrointestinal and dermatological effects. Whereas, the CAP-induced fatty liver had never been reported. Patientconcerns: In this study, a-69-year old female presented a history of hypertension with regulated blood pressure, whereas diabetes mellitus, hyperlipidemia, and hepatitis were excluded. No alcohol, tobacco, or other drugs use was declared. Diagnoses: She was diagnosed as infiltrating ductal carcinoma of left breast with the hepatic and pulmonary metastasis. The dihydropyrimidine dehydrogenase (DPD) deficiency is not involved. Interventions: She received treatment with CAP that was administered orally at a dosage of 1500mg twice daily intermittently (2weeks on/1 week off). The treatment was well-tolerated any typical adverse reactions such as diarrhea, nausea, and hand-foot syndrome (HFS) were noted. The parameters of the functional liver, the total cholesterol, and triglyceride were in normal ranges before and after therapy. After 3 cycles of the treatment, computed tomography (CT) scan revealed signs of fatty liver. After a 10-cycle course, CAP was substituted with tamoxifen because of the further aggravation of fatty liver. Outcomes: Several months after withdrawal, the follow-up CT scans demonstrated significant improvement of fatty liver. Lessons: We presented a case of breast cancer with severe fatty liver as a consequence of the administration of CAP that was not involved in DPD deficiency or CAP-associated hypertriglyceridemia; these potential adverse effects of therapy with CAP should be intensely investigated.",10.1097/MD.0000000000008547,"Jiang, YY; He, QC; Li, SX; Shi, C; Yang, XL"
26,Chemopreventive effects of atractylenolide-III on mammary tumorigenesis via activation of the Nrf2/ARE pathway through autophagic degradation of Keap1,"The incidence of breast cancer is increasing annually, making it a major health threat for women. Chemoprevention using natural, dietary, or synthetic products has emerged as a promising approach to address this growing burden. Atractylenolide-III (AT-III), a sesquiterpenoid present in various medicinal herbs, has demonstrated potential therapeutic effects against several diseases, including tumors, nonalcoholic fatty liver disease, and cerebral ischemic injury. However, its impact on breast cancer chemoprevention remains unexplored. In this study, we used an N-methyl-N-nitrosourea (NMU)-induced rat breast cancer model and 17 beta-estradiol (E2)treated MCF-10A cells to evaluate the chemopreventive potential of AT-III on mammary tumorigenesis. AT-III inhibited mammary tumor progression, evidenced by reduced tumor volume and multiplicity, prolonged tumor latency, and the reversal of NMU-induced weight loss. Furthermore, AT-III suppressed NMU-induced inflammation and oxidative stress through the Nrf2/ARE pathway in breast cancer tissues. In vitro, AT-III effectively suppressed E2-induced anchorage-independent growth and cell migration in MCF-10A cells. Nrf2 knockdown attenuated the protective effects of AT-III, highlighting the pivotal role of Nrf2 in AT-III-mediated suppression of tumorigenesis. The mechanism involves the induction of Nrf2 expression by AT-III through the autophagic degradation of Kelch-like ECH-associated protein 1 (Keap1). Overall, the results of this study indicate that AT-III is a promising candidate for breast cancer chemoprevention and provide valuable insights into its molecular interactions and signaling pathways.",10.1016/j.biopha.2024.116852,"Long, FY; Wang, PH; Ma, Y; Zhang, XD; Wang, T"
27,Nonalcoholic Fatty Liver Disease <i>A Negative Risk Factor for Colorectal Cancer Prognosis</i>,"Nonalcoholic fatty liver disease (NAFLD) is known to be associated with an increased risk of colorectal cancer (CRC). However, the relationship between NAFLD and the prognosis of CRC remains unclear. The primary objective of this study was to evaluate the overall survival (OS) and disease-free survival (DFS) rates in patients with CRC and the secondary objective was to compare clinicopathologic variables which were stratified by NAFLD. We performed a large cohort study of 1314 patients who were first diagnosed with CRC between January 2006 and April 2011. Postoperative follow-up data were collected from out-patient medical records, telephone consultations, and social security death indices. The Kaplan-Meier method was used to calculate the cumulative survival rate. Clinicopathologic variables were analyzed by univariate analysis and multivariate analysis through a Cox proportional hazard regression model. The mean follow-up time was 52.7 +/- 25.3 months. Upon baseline comparison, the NAFLD group had significantly higher values of body mass index, triglycerides, and uric acid and significantly lower values of high-density lipoprotein, compared with the non-NAFLD group (P < 0.05 for all). There were no significant differences between the 2 groups with regard to tumor location, TNM staging, tumor differentiation, carcinoembryonic antigen, and vascular invasion. The cumulative 1-, 3-, and 5-year OS rates were 96.1%, 85.2%, and 80.6%, respectively, in the NAFLD group, which were statistically significantly higher than the OS rates of 91.6%, 76.2%, and 67.8%, respectively, in the non-NAFLD group (P = 0.075, P = 0.002, P = 0.030, respectively). There was no difference in DFS rates between the CRC patients with and without NAFLD (P = 0.267). Multivariate analysis showed that the presence of NAFLD was an independent negative risk factor for OS after adjusting for clinicopathologic covariates (hazard ratio = 0.593; 95% confidence interval 0.442, 0.921; P = 0.020), but not for DFS (P = 0.270). NAFLD may play a protective role in OS for CRC patients. Further studies are needed to elucidate the molecular mechanisms of putative protective effects in CRC patients with NAFLD.",10.1097/MD.0000000000000479,"You, J; Huang, S; Huang, GQ; Zhu, GQ; Ma, RM; Liu, WY; Shi, KQ; Guo, GL; Chen, YP; Braddock, M; Zheng, MH"
28,The Biology of Leptin and Its Implications in Breast Cancer: A General View,"Obesity is a world health problem that increases the risk for developing type 2 diabetes, cardiovascular disease, fatty liver, and some types of cancer. In postmenopausal women, it represents an important risk factor for the development of breast cancer (BC). Leptin is an adipokine that is secreted by fatty tissue, and high leptin levels are observed both in mouse models of obesity and in obese subjects. High levels of leptin promote the proliferation and progression of various types of cancer, including BC. This review provides a general overview of the biology of leptin, important laboratory studies, and animal and clinical models that have provided evidence for an active role of leptin in the proliferation, progression, and survival of mammary tumors. Finally, this review addresses the most recent studies on the use of leptin receptor antagonists as a novel therapeutic treatment for BC.",10.1089/jir.2012.0168,"García-Robles, MJ; Segura-Ortega, JE; Fafutis-Morris, M"
29,Association between nonalcoholic fatty liver disease and colorectal cancer: A population-based study,"Colorectal cancer (CRC) and nonalcoholic fatty liver disease (NAFLD) have high prevalence rates and place a considerable burden on the health-care industry. The association between both diseases is controversial. Our aim was to examine the association between NAFLD and CRC. Using data extracted from the Taiwan National Health Insurance Research Database (NHIRD) from 2000 to 2015, we enrolled 60 298 patients with NAFLD. Of these, 52,986 met the inclusion criteria. A comparison group was selected using 4-fold propensity score matching by age, sex, and year of index date. The primary outcome was the cumulative incidence of CRC in patients with NAFLD. Over a mean follow-up period of 8.5 years, 160 new cases of CRC were identified. The incidence rate of CRC was higher in the NAFLD group (12.23 per 100,000 person-years) than in the comparison cohort (6.0 per 100,000 person-years). Cox proportional hazards regression analysis revealed that the adjusted hazard ratio (HR) of CRC was 1.259 in the study group (95% confidence interval [CI]: 1.047-1.486, P = .003). Using Kaplan-Meier analysis, we ascertained that the cumulative incidence of CRC was significantly high in the NAFLD group. Patients older than 50 years, with diabetes mellitus (DM), and with chronic liver disease also exhibited a high risk of CRC. NAFLD was associated with a high risk of CRC. CRC occurs more frequently in patients with NAFLD aged between 50 and 59 years and those older than 60 years with comorbidities, including DM and chronic liver disease. Physicians should consider the subsequent risk of CRC when treating patients with NAFLD.",10.1097/MD.0000000000033867,"Wu, PH; Chung, CH; Wang, YH; Hu, JM; Chien, WC; Cheng, YC"
30,Non-alcoholic fatty liver disease promotes liver metastasis of colorectal cancer via fatty acid synthase dependent EGFR palmitoylation,"Liver metastasis is the major reason for most of colorectal cancer (CRC) related deaths. Accumulating evidence indicates that CRC patients with non-alcoholic fatty liver disease (NAFLD) are at a greater risk of developing liver metastasis. With the growing prevalence of NAFLD, a better understanding of the molecular mechanism in NAFLD-driven CRC liver metastasis is needed. In this study, we demonstrated that NAFLD facilitated CRC liver metastasis as a metabolic disorder and promoted the stemness of metastatic CRC cells for their colonization and outgrowth in hepatic niches. Metabolically, the lipid-rich microenvironment in NAFLD activated de novo palmitate biosynthesis in metastatic CRC cells via upregulating fatty acid synthase (FASN). Moreover, increased intracellular palmitate bioavailability promoted EGFR palmitoylation to enhance its protein stability and plasma membrane localization. Furthermore, we demonstrated that the FDA-approved FASN inhibitor orlistat could reduce NAFLD-activated endogenous palmitate production, thus inhibiting palmitoylation of EGFR to suppress CRC cell stemness and restrict liver metastasis in synergy with conventional chemotherapy. These findings reveal that the NAFLD metabolic microenvironment boosts endogenous palmitate biosynthesis in metastatic CRC cells and promotes cell stemness via EGFR palmitoylation, and FASN inhibitor orlistat could be a candidate adjuvant drug to suppress liver metastasis in CRC patients with NAFLD.",10.1038/s41420-023-01770-x,"Zhang, C; Zhang, Y; Dong, Y; Zi, RY; Wang, YJ; Chen, YR; Liu, CX; Wang, JY; Wang, XS; Li, JJ; Liang, HJ; Ou, JJ"
31,"Association between high fatty liver index and development of colorectal cancer: a nationwide cohort study with 21,592,374 Korean","Background/Aims: In Korea, the incidence of colorectal cancer (CRC) and non-alcoholic fatty liver disease (NAFLD) has increased due to a westernized lifestyle. This study investigated whether a high fatty liver index that reflects NAFLD correlates with CRC. Methods: Data from the National Health Insurance Corporation 2009 to 2012 were analyzed. NAFLD disease was defined as a fatty liver index > 60 in the absence of alcohol consumption of a >= 30 g/day. Results: NAFLD was identified in 2,543,649 (11.8%) of 21,592,374 participants. CRC was identified in 19,785 (0.8%) of participants with NAFLD (fatty liver index >= 60) and in 80,871 (0.6%) participants without NAFLD (fatty liver index < 30). Multivariate logistic regression analysis demonstrated an independent association between NAFLD and CRC after adjusting for other confounders (hazard ratio, 1.13; odds ratio, 1.12 to 1.15). In subgroup analyses, fatty liver index >= 60 was associated with CRC regardless of body mass index, but the association was more prominent in persons with a normal index. NAFLD, in the absence of diabetes, hypertension, or dyslipidemia, was more highly associated with CRC than when one or more of these conditions are present. Conclusions: CRC should be considered as a possibility in patients with fatty liver index >= 60, even in the absence of obesity or other metabolic syndromes.",10.3904/kjim.2018.022,"Choi, YJ; Lee, DH; Han, KD"
32,Alcohol as a health risk: new recommendations for dealing with alcohol,"Background: Chronic alcohol consumption is related to more than 200 disorders. Up until now, limits for low-risk use of alcohol were 24 g/ day for men and 12 g/ day for women. Recent epidemiologic studies have shown that any alcohol may be harmful.Aim: The aim of this review is to reassess the health risk of alcohol.Results: There is a linear relationship between the amount of alcohol consumed and mortality risk. No risk-free dose of alcohol exists. However, health risk varies not only with the amount of alcohol consumed but also with target organs, as well as individual genetic and non-genetic factors such as smoking, medication use, exposure to environmental toxins, and pre-existing disease that deteriorates with alcohol use. High-risk groups for the damaging effect of alcohol include children and adolescents, old people, and women. Diseases that are affected by alcohol even at a low dose include arterial hypertension, cardiac arrhythmia (extrasystole, arterial fibrillation), some liver diseases (non-alcoholic fatty liver disease, hepatitis C, porphyria) as well as breast cancer. For these disorders, a threshold of low risk does not exist. Finally, in addition to breast cancer, alcohol is a risk factor for cancer of the oral cavity, the larynx, pharynx, oesophagus, liver, and colorectum. During pregnancy alcohol is completely forbidden.Conclusion: There is no such thing as a risk-free dose of alcohol.",10.1007/s00108-023-01574-2,"Seitz, HK; John, U"
33,Unraveling the Role of Hepatic PGC1a in Breast Cancer Invasion: A New Target for Therapeutic Intervention?,"Breast cancer (BC) is the most common cancer among women worldwide and the main cause of cancer deaths in women. Metabolic components are key risk factors for the development of non-alcoholic fatty liver disease (NAFLD), which may promote BC. Studies have reported that increasing PGC1a levels increases mitochondrial biogenesis, thereby increasing cell proliferation and metastasis. Moreover, the PGC1a/ERRa axis is a crucial regulator of cellular metabolism in various tissues, including BC. However, it remains unclear whether NAFLD is closely associated with the risk of BC. Therefore, the present study aimed to determine whether hepatic PGC1a promotes BC cell invasion via ERRa. Various assays, including ELISA, western blotting, and immunoprecipitation, have been employed to explore these mechanisms. According to the KM plot and TCGA data, elevated PGC1a expression was highly associated with a shorter overall survival time in patients with BC. High concentrations of palmitic acid (PA) promoted PGC1a expression, lipogenesis, and inflammatory processes in hepatocytes. Conditioned medium obtained from PA-treated hepatocytes significantly increased BC cell proliferation. Similarly, recombinant PGC1a in E0771 and MCF7 cells promoted cell proliferation, migration, and invasion in vitro. However, silencing PGC1a in both BC cell lines resulted in a decrease in this trend. As determined by immunoprecipitation assay, PCG1a interacted with ERRa, thereby facilitating the proliferation of BC cells. This outcome recognizes the importance of further investigations in exploring the full potential of hepatic PGC1a as a prognostic marker for BC development.",10.3390/cells12182311,"Ganesan, K; Xu, C; Liu, QQ; Sui, Y; Chen, JP"
34,Remission of Nonalcoholic Fatty Liver Disease After Radical Surgery in Patients with Colorectal Cancer: A Single-Center Retrospective Study,"Purpose: The purpose of this study was to investigate the relationship between remission of nonalcoholic fatty liver disease (NAFLD) and radical surgery for colorectal cancer (CRC) patients. Methods: From January 2014 to December 2021, data of patients with concurrent CRC and NAFLD who underwent radical surgery in a single -center hospital were retrospectively collected. NAFLD was defined as a mean computed tomography (CT) liver attenuation value of <40 Hounsfield units (HUs). Comparison of preoperative and 1 -year postoperative CT images was performed to evaluate the change of NAFLD. Multivariate logistic regression analysis was performed to identify independent predictive factors for NAFLD remission. The Kaplan-Meier method was used to estimate overall survival (OS) and disease -free survival (DFS) between the remission group and no remission group. Results: In this study, a total of 55 eligible patients were included. The remission group had 33 (60.0%) patients and the no remission group had 22 (40.0%) patients. The mean preoperative weight was 66.1 +/- 9.9 kg. The mean preoperative body mass index (BMI) was 25.4 +/- 2.5 kg/m(2). We found that the average weight was significantly decreased (P <0.01), average BMI was significantly decreased (P < 0.01), and HU score was significantly increased (P <0.01). By comparing baseline characteristics between the remission group and no remission group, we found that the remission group exhibited larger tumor sizes (P = 0.036) than the no remission group. In the multivariate logistic regression analysis, we found that weight change was a predictor for NAFLD (odds ratio = 0.764, 95% confidence interval = 0.618-0.944, P =0.013). We did not find any statistically significant differences in OS (P = 0.182) or DFS (P = 0.248) between the remission group and no remission group. Conclusions: The NAFLD remission rate reached 60.0% for CRC patients 1 year after radical surgery. In addition, we found that weight change was a predictor of NAFLD remission.",10.1089/met.2023.0232,"Li, ZW; Shu, XP; Liu, F; Liu, XR; Tong, Y; Lv, Q; Liu, XY; Zhang, W; Peng, D"
35,'Yapping' with extracellular vesicles in fatty liver metastasis,"Liver metastasis is a major cause death in patients with colorectal cancer (CRC). A recent study Wang et al. has deciphered unprecedented prometastatic and immunosuppressive properties of the tumor microenvironment (TME) mediated by hepatocyte-derived extracellular vesicles (EVs) in fatty liver, paving the way for therapeutic innovations to treat patients with CRC and liver metastasis.",10.1016/j.tcb.2023.07.001,"Andriantsitohaina, R; Martinez, MC"
36,Fatostatin inhibits SREBP2-mediated cholesterol uptake via LDLR against selective estrogen receptor α modulator-induced hepatic lipid accumulation,"Estrogen receptor alpha (ER alpha) plays a key role in the adaptive response of liver metabolism to energy demands, especially in controlling lipid metabolism. Tamoxifen (TMX), a main drug for the treatment of ER-positive breast cancer in clinical, is a selective ER modulator (SERM). However, accordingly, the long-term use of TMX would lead to nonalcoholic fatty liver (NAFLD) in clinical, which had no definite treatment up to now. Fatostatin (Fato), an inhibitor of sterol-regulatory element binding protein 2 (SREBP2), was reported as a synergistic inhibitor of ER-positive breast cancer with TMX, but the hepatic lipid regulation of this combination is still unknown. Herein, we aimed to explore the effect and mechanism of Fato against TMX-induced NAFLD. The results identified that hepatic cholesterol content increase was the main reason for TMX-induced NAFLD. It was caused by the upregulation of circulating cholesterol uptake mediated by low density lipoprotein receptor (LDLR) in liver, which resulted from the activation of SREBP2. Meanwhile, Fato could inhibit activation of SREBP2-LDLR pathway, alleviating TMX-induced hepatic cholesterol accumulation. In summary, these results provided a new insight into the mechanism of TMX-induced NAFLD. Moreover, it supported the combination of Fato and TMX for the treatment of ER-positive breast cancer to reduce the adverse effect of TMX in clinical.",10.1016/j.cbi.2022.110091,"Li, M; Lu, Q; Zhu, YP; Fan, X; Zhao, W; Zhang, LY; Jiang, ZZ; Yu, QW"
37,Network based approach to identify interactions between Type 2 diabetes and cancer comorbidities,"High blood sugar and insulin insensitivity causes the lifelong chronic metabolic disease called Type 2 diabetes (T2D) which has a higher chance of developing different malignancies. T2D with comorbidities like Cancers can make normal medications for those disorders more difficult. There may be a significant correlation between comorbidities and have an impact on one another's health. These associations may be due to a number of direct and indirect mechanisms. Such molecular mechanisms that underpin T2D and cancer are yet unknown. However, the large volumes of data available on these diseases allowed us to use analytical tools for uncovering their interrelated pathways. Here, we tried to present a system for investigating potential comorbidity relationships between T2D and Cancer disease by looking at the molecular processes involved, analyzing a huge number of freely accessible transcriptomic datasets of various disorders using bioinformatics. Using semantic similarity and gene set enrichment analysis, we created an informatics pipeline that evaluates and integrates Gene Ontology (GO), expression of genes, and biological process data. We discovered genes that are common in T2D and Cancer along with molecular pathways and GOs. We compared the top 200 Differentially Expressed Genes (DEGs) from each selected T2D and cancer dataset and found the most significant common genes. Among all the common genes 13 genes were found most frequent. We also found 4 common GO terms: GO:0000003, GO:0000122, GO:0000165, and GO:0000278 among all the common GO terms between T2d and different cancers. Using these genes and GO term semantic similarity, we calculated the distance between these two diseases. The semantic similarity results of our study showed a higher association of Liver Cancer (LiC), Breast Cancer (BreC), Colorectal Cancer (CC), and Bladder Cancer (BlaC) with T2D. Furthermore we found KIF4A, NUSAP1, CENPF, CCNB1, TOP2A, CCNB2, RRM2, HMMR, NDC80, NCAPG, and IGFBP5 common hub proteins among different cancers correlated to T2D. AGE-RAGE signaling pathway in diabetic complications, Osteoclast differentiation, TNF signaling pathway, IL-17 signaling pathway, p53 signaling pathway, MAPK signaling pathway, Human T-cell leukemia virus 1 infection, and Non-alcoholic fatty liver disease are the 8 most significant pathways found among 18 common pathways between T2D and selected cancers. As a result of our technique, we now know more about disease pathways that are critical between T2D and cancer.",10.1016/j.lfs.2023.122244,"Nayan, SI; Rahman, MH; Hasan, MM; Raj, SMRH; Almoyad, MAA; Li, PT; Moni, MA"
38,Fasting hyperglycaemia and fatty liver drive colorectal cancer: a retrospective analysis in 1145 patients,"Background Metabolic dysfunction-associated steatotic liver disease (MASLD) represents the hepatic manifestation of increased adiposopathy, whose pathogenetic features have been proposed as tumourigenic triggers for colorectal cancer (CRC). We aim to identify specific metabolic signatures involved in CRC development that may be used as non-invasive biomarkers, paving the way for specific and personalized strategies of CRC prevention and early detection.Methods We retrospectively assessed CRC onset during a time frame of 8 years in a cohort of 1145 out-patients individuals who had previously been evaluated for Metabolic Syndrome.Results 28 patients developed CRC. No association between CRC development and visceral and general obesity was detected, while baseline fasting plasma glucose (FPG) and non-invasive liver fibrosis scores were significantly higher in patients with CRC, compared to those who did not develop cancer. Liver steatosis and MASLD were more frequently diagnosed in patients who developed CRC compared to no cancer developers. Canonical correlations among metabolic biomarkers were not present in CRC developers, differently from no cancer group. In ROC analysis, FPG and non-invasive scores also showed good sensitivity and specificity in predicting colon cancer. We then calculated ORs for metabolic biomarkers, finding that higher FPG and non-invasive scores were associated with an increased risk of developing CRC.Conclusion MASLD and increased FPG may play a role in the clinical background of CRC, bringing to light the fascinating possibility of a reversed gut-liver axis communication in the pathogenesis of CRC. Thus, the use of non-invasive scores of fatty liver may be helpful to predict the risk of CRC and serve as novel prognostic factors for prevention and therapeutic strategies.",10.1007/s11739-024-03596-6,"Crudele, L; De Matteis, C; Novielli, F; Petruzzelli, S; Di Buduo, E; Graziano, G; Cariello, M; Piccinin, E; Gadaleta, RM; Moschetta, A"
39,Polydatin down-regulates the phosphorylation level of STAT3 and induces pyroptosis in triple-negative breast cancer mice with a high-fat diet,"Background: To explore the impact of polydatin on mice with triple-negative breast cancer (TNBC) receiving a high-fat diet, as well as the underlying processes. Methods: A total of 40 female Balb/c mice were randomly separated into 4 groups (4T1+polydatin+fat diet group, 4T1+high-fat diet group, 4T1+polydatin group, and 4T1 group). To establish the obese TNBC mouse model, TNBC was xenografted 1x105 4T1 cells/50 mu L per mouse at the right fourth mammary fat pad under anesthesia and the mice were fed a high fat diet. When the experiment was completed, total plasma cholesterol (TC) and cancer antigen (CA)15-3 were measured. The enzyme-linked immunosorbent assay (ELISA) method was used detect CA15-3. Oil red O staining was used to observe the morphological changes. Western blot analysis and reverse transcription polymerase chain reaction (RT-PCR) were used to detect the corresponding protein expression and the messenger RNA (mRNA) level. Results: Polydatin decreased the degree of fatty liver, as determined by oil red O staining. The TC level in the 4T1+fat diet group was significantly higher, and it was decreased in the 4T1+polydatin group. The results of ELISA showed that compared with the 4T1 group, CA15-3 was significantly increased in the 4T1+fat diet group, and polydatin was shown to significantly reduce the expression of CA15-3. Polydatin inhibited p-JAK2 and p-STAT3 mRNA and protein levels. Polydatin increased pyroptosis-related gene mRNA and protein level. Conclusions: We believe that polydatin can effectively reduce blood lipid levels in TNBC mice with a high-fat diet, and play an anticancer role in TNBC. The underlying mechanism may be related to the JAK2/ STAT3 signaling pathway and pyroptosis in TNBC. Our results contribute to validating the traditional use of polydatin in the treatment of TNBC with hyperlipidemia.",10.21037/atm-22-73,"Liu, M; Li, YA; Kong, BT; Zhang, GL; Zhang, Q"
40,Hepatic lipids promote liver metastasis,"Obesity predisposes to cancer and a virtual universality of nonalcoholic fatty liver disease (NAFLD). However, the impact of hepatic steatosis on liver metastasis is enigmatic. We find that while control mice were relatively resistant to hepatic metastasis, those which were lipodystrophic or obese, with NAFLD, had a dramatic increase in breast cancer and melanoma liver metastases. NAFLD promotes liver metastasis by reciprocal activation initiated by tumor-induced triglyceride lipolysis in juxtaposed hepatocytes. The lipolytic products are transferred to cancer cells via fatty acid transporter protein 1, where they are metabolized by mitochondrial oxidation to promote tumor growth. The histology of human liver metastasis indicated the same occurs in humans. Furthermore, comparison of isolates of normal and fatty liver established that steatotic lipids had enhanced tumor-stimulating capacity. Normalization of glucose metabolism by metformin did not reduce steatosis-induced metastasis, establishing the process is not mediated by the metabolic syndrome. Alternatively, eradication of NAFLD in lipodystrophic mice by adipose tissue transplantation reduced breast cancer metastasis to that of control mice, indicating the steatosis-induced predisposition is reversible.",10.1172/jci.insight.136215,"Li, YJ; Su, XM; Rohatgi, N; Zhang, Y; Brestoff, JR; Shoghi, KI; Xu, YL; Semenkovich, CF; Harris, CA; Peterson, LL; Weilbaecher, KN; Teitelbaum, SL; Zou, W"
